"","store_number","category_name","Date","forecast_volume","fc_sales"
"69",2603,"Straight Bourbon Whiskies",2022-12-04,173.919520493723,4659.04976500561
"70",2603,"Straight Bourbon Whiskies",2022-12-11,172.486657864475,4495.48660407162
"71",2603,"Straight Bourbon Whiskies",2022-12-18,135.627350070534,2997.97209526197
"72",2603,"Straight Bourbon Whiskies",2022-12-25,179.373096760706,3464.78921032409
"73",4829,"Straight Bourbon Whiskies",2022-08-28,453.567232515431,5595.8129282622
"74",4829,"Straight Bourbon Whiskies",2022-09-04,512.491426743503,5624.67396098217
"75",4829,"Straight Bourbon Whiskies",2022-09-11,470.502671616117,6052.66506429542
"76",4829,"Straight Bourbon Whiskies",2022-09-18,500.423412667298,6145.7729309546
"77",4829,"Straight Bourbon Whiskies",2022-09-25,479.102210304051,6219.35609615358
"78",4829,"Straight Bourbon Whiskies",2022-10-02,494.295472711453,6246.5103770889
"79",4829,"Straight Bourbon Whiskies",2022-10-09,483.468915247785,6261.49113649239
"80",4829,"Straight Bourbon Whiskies",2022-10-16,491.183805135884,6268.05620853858
"81",4829,"Straight Bourbon Whiskies",2022-10-23,485.686256521264,6271.32283321812
"82",4829,"Straight Bourbon Whiskies",2022-10-30,489.603751288977,6272.83580947351
"83",4829,"Straight Bourbon Whiskies",2022-11-06,486.812186114957,6273.56513300751
"84",4829,"Straight Bourbon Whiskies",2022-11-13,488.801425816061,6273.90889969221
"85",4829,"Straight Bourbon Whiskies",2022-11-20,487.383914727559,6274.07298045316
"86",4829,"Straight Bourbon Whiskies",2022-11-27,488.394018077553,6274.150747647
"87",4829,"Straight Bourbon Whiskies",2022-12-04,487.674229156009,6274.18775138725
"88",4829,"Straight Bourbon Whiskies",2022-12-11,488.187143098509,6274.20531996352
"89",4829,"Straight Bourbon Whiskies",2022-12-18,487.821646069399,6274.21367145724
"90",4829,"Straight Bourbon Whiskies",2022-12-25,488.082095371356,6274.21763872169
"91",2633,"Canadian Whiskies",2022-08-28,632.318737952636,2697.70368230605
"92",2633,"Canadian Whiskies",2022-09-04,677.335803729798,2797.12590292921
"93",2633,"Canadian Whiskies",2022-09-11,677.335803729798,2866.9749536024
"94",2633,"Canadian Whiskies",2022-09-18,677.335803729798,2916.04738277735
"95",2633,"Canadian Whiskies",2022-09-25,677.335803729798,2950.52320287686
"96",2633,"Canadian Whiskies",2022-10-02,677.335803729798,2974.74417973734
"97",2633,"Canadian Whiskies",2022-10-09,677.335803729798,2991.76061961846
"98",2633,"Canadian Whiskies",2022-10-16,677.335803729798,3003.7155142495
"99",2633,"Canadian Whiskies",2022-10-23,677.335803729798,3012.11442181404
"100",2633,"Canadian Whiskies",2022-10-30,677.335803729798,3018.01507175325
"101",2633,"Canadian Whiskies",2022-11-06,677.335803729798,3022.1605715623
"102",2633,"Canadian Whiskies",2022-11-13,677.335803729798,3025.07299118452
"103",2633,"Canadian Whiskies",2022-11-20,677.335803729798,3027.11911069884
"104",2633,"Canadian Whiskies",2022-11-27,677.335803729798,3028.55661133746
"105",2633,"Canadian Whiskies",2022-12-04,677.335803729798,3029.56652697122
"106",2633,"Canadian Whiskies",2022-12-11,677.335803729798,3030.27604289066
"107",2633,"Canadian Whiskies",2022-12-18,677.335803729798,3030.77451308273
"108",2633,"Canadian Whiskies",2022-12-25,677.335803729798,3031.12471316362
"109",2670,"Straight Bourbon Whiskies",2022-08-28,208.180687655928,3044.20537597334
